Date,Open,High,Low,Close,Adj Close,Volume
2023-06-15,183.960007,186.520004,183.779999,186.009995,185.759155,65433200
2023-06-16,186.729996,186.990005,184.270004,184.919998,184.670624,101235600
2023-06-20,184.410004,186.100006,184.410004,185.009995,184.760498,49799100
2023-06-21,184.899994,185.410004,182.589996,183.960007,183.711929,49515700
2023-06-22,183.740005,187.050003,183.669998,187.000000,186.747818,51245300
2023-06-23,185.550003,187.559998,185.009995,186.679993,186.428238,53079300
2023-06-26,186.830002,188.050003,185.229996,185.270004,185.020157,48088700
2023-06-27,185.889999,188.389999,185.669998,188.059998,187.806381,50730800
2023-06-28,187.929993,189.899994,187.600006,189.250000,188.994781,51216800
2023-06-29,189.080002,190.070007,188.940002,189.589996,189.334320,46347300
2023-06-30,191.630005,194.479996,191.259995,193.970001,193.708420,85069600
2023-07-03,193.779999,193.880005,191.759995,192.460007,192.200470,31458200
2023-07-05,191.570007,192.979996,190.619995,191.330002,191.071976,46920300
2023-07-06,189.839996,192.020004,189.199997,191.809998,191.551331,45094300
2023-07-07,191.410004,192.669998,190.240005,190.679993,190.422852,46778000
2023-07-10,189.259995,189.990005,187.039993,188.610001,188.355652,59922200
2023-07-11,189.160004,189.300003,186.600006,188.080002,187.826370,46638100
2023-07-12,189.679993,191.699997,188.470001,189.770004,189.514084,60750200
2023-07-13,190.500000,191.190002,189.779999,190.539993,190.283035,41342300
2023-07-14,190.229996,191.179993,189.630005,190.690002,190.432846,41573900
2023-07-17,191.899994,194.320007,191.809998,193.990005,193.728394,50520200
2023-07-18,193.350006,194.330002,192.419998,193.729996,193.468735,48353800
2023-07-19,193.100006,198.229996,192.649994,195.100006,194.836899,80507300
2023-07-20,195.089996,196.470001,192.500000,193.130005,192.869553,59581200
2023-07-21,194.100006,194.970001,191.229996,191.940002,191.681168,71917800
2023-07-24,193.410004,194.910004,192.250000,192.750000,192.490067,45377800
2023-07-25,193.330002,194.440002,192.919998,193.619995,193.358887,37283200
2023-07-26,193.669998,195.639999,193.320007,194.500000,194.237701,47471900
2023-07-27,196.020004,197.199997,192.550003,193.220001,192.959427,47460200
2023-07-28,194.669998,196.630005,194.139999,195.830002,195.565918,48291400
2023-07-31,196.059998,196.490005,195.259995,196.449997,196.185074,38824100
2023-08-01,196.240005,196.729996,195.279999,195.610001,195.346207,35175100
2023-08-02,195.039993,195.179993,191.850006,192.580002,192.320297,50389300
2023-08-03,191.570007,192.369995,190.690002,191.169998,190.912201,61235200
2023-08-04,185.520004,187.380005,181.919998,181.990005,181.744583,115799700
2023-08-07,182.130005,183.130005,177.350006,178.850006,178.608810,97576100
2023-08-08,179.690002,180.270004,177.580002,179.800003,179.557526,67823000
2023-08-09,180.869995,180.929993,177.009995,178.190002,177.949707,60378500
2023-08-10,179.479996,180.750000,177.600006,177.970001,177.729996,54686900
2023-08-11,177.320007,178.619995,176.550003,177.789993,177.789993,51988100
2023-08-14,177.970001,179.690002,177.309998,179.460007,179.460007,43675600
2023-08-15,178.880005,179.479996,177.050003,177.449997,177.449997,43622600
2023-08-16,177.130005,178.539993,176.500000,176.570007,176.570007,46964900
2023-08-17,177.139999,177.509995,173.479996,174.000000,174.000000,66062900
2023-08-18,172.300003,175.100006,171.960007,174.490005,174.490005,61114200
